年	月	年齢層	状態	数
2019	2	65-69歳	自動車乗車中	6
2019	2	65-69歳	自動二輪車乗車中	2
2019	2	65-69歳	原付乗車中	0
2019	2	65-69歳	自転車乗用中	7
2019	2	65-69歳	歩行中	10
2019	2	65-69歳	その他	0
2019	2	70-74歳	自動車乗車中	12
2019	2	70-74歳	自動二輪車乗車中	0
2019	2	70-74歳	原付乗車中	3
2019	2	70-74歳	自転車乗用中	9
2019	2	70-74歳	歩行中	8
2019	2	70-74歳	その他	0
2019	2	75-79歳	自動車乗車中	5
2019	2	75-79歳	自動二輪車乗車中	1
2019	2	75-79歳	原付乗車中	1
2019	2	75-79歳	自転車乗用中	5
2019	2	75-79歳	歩行中	11
2019	2	75-79歳	その他	1
2019	2	80-84歳	自動車乗車中	2
2019	2	80-84歳	自動二輪車乗車中	0
2019	2	80-84歳	原付乗車中	0
2019	2	80-84歳	自転車乗用中	8
2019	2	80-84歳	歩行中	14
2019	2	80-84歳	その他	0
2019	2	85歳以上	自動車乗車中	3
2019	2	85歳以上	自動二輪車乗車中	0
2019	2	85歳以上	原付乗車中	0
2019	2	85歳以上	自転車乗用中	1
2019	2	85歳以上	歩行中	17
2019	2	85歳以上	その他	0
2019	1	9歳以下	自動車乗車中	0
2019	1	9歳以下	自動二輪車乗車中	0
2019	1	9歳以下	原付乗車中	0
2019	1	9歳以下	自転車乗用中	0
2019	1	9歳以下	歩行中	3
2019	1	9歳以下	その他	0
2019	1	10-19歳	自動車乗車中	2
2019	1	10-19歳	自動二輪車乗車中	4
2019	1	10-19歳	原付乗車中	0
2019	1	10-19歳	自転車乗用中	1
2019	1	10-19歳	歩行中	1
2019	1	10-19歳	その他	0
2019	1	20-29歳	自動車乗車中	8
2019	1	20-29歳	自動二輪車乗車中	5
2019	1	20-29歳	原付乗車中	0
2019	1	20-29歳	自転車乗用中	0
2019	1	20-29歳	歩行中	3
2019	1	20-29歳	その他	0
2019	1	30-39歳	自動車乗車中	5
2019	1	30-39歳	自動二輪車乗車中	2
2019	1	30-39歳	原付乗車中	1
2019	1	30-39歳	自転車乗用中	0
2019	1	30-39歳	歩行中	3
2019	1	30-39歳	その他	0
2019	1	40-49歳	自動車乗車中	6
2019	1	40-49歳	自動二輪車乗車中	4
2019	1	40-49歳	原付乗車中	2
2019	1	40-49歳	自転車乗用中	4
2019	1	40-49歳	歩行中	5
2019	1	40-49歳	その他	0
2019	1	50-59歳	自動車乗車中	8
2019	1	50-59歳	自動二輪車乗車中	4
2019	1	50-59歳	原付乗車中	1
2019	1	50-59歳	自転車乗用中	3
2019	1	50-59歳	歩行中	6
2019	1	50-59歳	その他	0
2019	1	60-64歳	自動車乗車中	13
2019	1	60-64歳	自動二輪車乗車中	3
2019	1	60-64歳	原付乗車中	0
2019	1	60-64歳	自転車乗用中	0
2019	1	60-64歳	歩行中	8
2019	1	60-64歳	その他	0
2019	1	65-69歳	自動車乗車中	5
2019	1	65-69歳	自動二輪車乗車中	1
2019	1	65-69歳	原付乗車中	1
2019	1	65-69歳	自転車乗用中	3
2019	1	65-69歳	歩行中	7
2019	1	65-69歳	その他	0
2019	1	70-74歳	自動車乗車中	5
2019	1	70-74歳	自動二輪車乗車中	0
2019	1	70-74歳	原付乗車中	0
2019	1	70-74歳	自転車乗用中	3
2019	1	70-74歳	歩行中	16
2019	1	70-74歳	その他	0
2019	1	75-79歳	自動車乗車中	8
2019	1	75-79歳	自動二輪車乗車中	1
2019	1	75-79歳	原付乗車中	2
2019	1	75-79歳	自転車乗用中	5
2019	1	75-79歳	歩行中	17
2019	1	75-79歳	その他	0
2019	1	80-84歳	自動車乗車中	10
2019	1	80-84歳	自動二輪車乗車中	0
2019	1	80-84歳	原付乗車中	1
2019	1	80-84歳	自転車乗用中	8
2019	1	80-84歳	歩行中	22
2019	1	80-84歳	その他	0
2019	1	85歳以上	自動車乗車中	6
2019	1	85歳以上	自動二輪車乗車中	1
2019	1	85歳以上	原付乗車中	1
2019	1	85歳以上	自転車乗用中	5
2019	1	85歳以上	歩行中	32
2019	1	85歳以上	その他	0
2018	12	9歳以下	自動車乗車中	1
2018	12	9歳以下	自動二輪車乗車中	0
2018	12	9歳以下	原付乗車中	0
2018	12	9歳以下	自転車乗用中	1
2018	12	9歳以下	歩行中	4
2018	12	9歳以下	その他	0
2018	12	10-19歳	自動車乗車中	1
2018	12	10-19歳	自動二輪車乗車中	8
2018	12	10-19歳	原付乗車中	0
2018	12	10-19歳	自転車乗用中	1
2018	12	10-19歳	歩行中	4
2018	12	10-19歳	その他	0
2018	12	20-29歳	自動車乗車中	8
2018	12	20-29歳	自動二輪車乗車中	6
2018	12	20-29歳	原付乗車中	4
2018	12	20-29歳	自転車乗用中	2
2018	12	20-29歳	歩行中	8
2018	12	20-29歳	その他	0
2018	12	30-39歳	自動車乗車中	8
2018	12	30-39歳	自動二輪車乗車中	1
2018	12	30-39歳	原付乗車中	0
2018	12	30-39歳	自転車乗用中	1
2018	12	30-39歳	歩行中	6
2018	12	30-39歳	その他	0
2018	12	40-49歳	自動車乗車中	11
2018	12	40-49歳	自動二輪車乗車中	7
2018	12	40-49歳	原付乗車中	2
2018	12	40-49歳	自転車乗用中	2
2018	12	40-49歳	歩行中	8
2018	12	40-49歳	その他	0
2018	12	50-59歳	自動車乗車中	19
2018	12	50-59歳	自動二輪車乗車中	5
2018	12	50-59歳	原付乗車中	2
2018	12	50-59歳	自転車乗用中	4
2018	12	50-59歳	歩行中	13
2018	12	50-59歳	その他	0
2018	12	60-64歳	自動車乗車中	10
2018	12	60-64歳	自動二輪車乗車中	3
2018	12	60-64歳	原付乗車中	4
2018	12	60-64歳	自転車乗用中	6
2018	12	60-64歳	歩行中	10
2018	12	60-64歳	その他	0
2018	12	65-69歳	自動車乗車中	13
2018	12	65-69歳	自動二輪車乗車中	2
2018	12	65-69歳	原付乗車中	1
2018	12	65-69歳	自転車乗用中	7
2018	12	65-69歳	歩行中	19
2018	12	65-69歳	その他	0
2018	12	70-74歳	自動車乗車中	15
2018	12	70-74歳	自動二輪車乗車中	1
2018	12	70-74歳	原付乗車中	3
2018	12	70-74歳	自転車乗用中	6
2018	12	70-74歳	歩行中	19
2018	12	70-74歳	その他	0
2018	12	75-79歳	自動車乗車中	11
2018	12	75-79歳	自動二輪車乗車中	0
2018	12	75-79歳	原付乗車中	2
2018	12	75-79歳	自転車乗用中	10
2018	12	75-79歳	歩行中	23
2018	12	75-79歳	その他	0
2018	12	80-84歳	自動車乗車中	13
2018	12	80-84歳	自動二輪車乗車中	0
2018	12	80-84歳	原付乗車中	4
2018	12	80-84歳	自転車乗用中	8
2018	12	80-84歳	歩行中	32
2018	12	80-84歳	その他	0
2018	12	85歳以上	自動車乗車中	13
2018	12	85歳以上	自動二輪車乗車中	0
2018	12	85歳以上	原付乗車中	1
2018	12	85歳以上	自転車乗用中	3
2018	12	85歳以上	歩行中	34
2018	12	85歳以上	その他	0
2018	11	9歳以下	自動車乗車中	0
2018	11	9歳以下	自動二輪車乗車中	0
2018	11	9歳以下	原付乗車中	0
2018	11	9歳以下	自転車乗用中	0
2018	11	9歳以下	歩行中	2
2018	11	9歳以下	その他	0
2018	11	10-19歳	自動車乗車中	4
2018	11	10-19歳	自動二輪車乗車中	5
2018	11	10-19歳	原付乗車中	3
2018	11	10-19歳	自転車乗用中	1
2018	11	10-19歳	歩行中	0
2018	11	10-19歳	その他	0
2018	11	20-29歳	自動車乗車中	6
2018	11	20-29歳	自動二輪車乗車中	7
2018	11	20-29歳	原付乗車中	2
2018	11	20-29歳	自転車乗用中	3
2018	11	20-29歳	歩行中	2
2018	11	20-29歳	その他	0
2018	11	30-39歳	自動車乗車中	7
2018	11	30-39歳	自動二輪車乗車中	1
2018	11	30-39歳	原付乗車中	0
2018	11	30-39歳	自転車乗用中	1
2018	11	30-39歳	歩行中	5
2018	11	30-39歳	その他	0
2018	11	40-49歳	自動車乗車中	7
2018	11	40-49歳	自動二輪車乗車中	9
2018	11	40-49歳	原付乗車中	3
2018	11	40-49歳	自転車乗用中	2
2018	11	40-49歳	歩行中	5
2018	11	40-49歳	その他	0
2018	11	50-59歳	自動車乗車中	15
2018	11	50-59歳	自動二輪車乗車中	7
2018	11	50-59歳	原付乗車中	1
2018	11	50-59歳	自転車乗用中	6
2018	11	50-59歳	歩行中	8
2018	11	50-59歳	その他	0
2018	11	60-64歳	自動車乗車中	5
2018	11	60-64歳	自動二輪車乗車中	1
2018	11	60-64歳	原付乗車中	1
2018	11	60-64歳	自転車乗用中	0
2018	11	60-64歳	歩行中	4
2018	11	60-64歳	その他	0
2018	11	65-69歳	自動車乗車中	12
2018	11	65-69歳	自動二輪車乗車中	3
2018	11	65-69歳	原付乗車中	2
2018	11	65-69歳	自転車乗用中	2
2018	11	65-69歳	歩行中	5
2018	11	65-69歳	その他	1
2018	11	70-74歳	自動車乗車中	13
2018	11	70-74歳	自動二輪車乗車中	0
2018	11	70-74歳	原付乗車中	3
2018	11	70-74歳	自転車乗用中	5
2018	11	70-74歳	歩行中	10
2018	11	70-74歳	その他	0
2018	11	75-79歳	自動車乗車中	16
2018	11	75-79歳	自動二輪車乗車中	1
2018	11	75-79歳	原付乗車中	1
2018	11	75-79歳	自転車乗用中	7
2018	11	75-79歳	歩行中	22
2018	11	75-79歳	その他	0
2018	11	80-84歳	自動車乗車中	14
2018	11	80-84歳	自動二輪車乗車中	0
2018	11	80-84歳	原付乗車中	1
2018	11	80-84歳	自転車乗用中	6
2018	11	80-84歳	歩行中	26
2018	11	80-84歳	その他	0
2018	11	85歳以上	自動車乗車中	13
2018	11	85歳以上	自動二輪車乗車中	0
2018	11	85歳以上	原付乗車中	2
2018	11	85歳以上	自転車乗用中	6
2018	11	85歳以上	歩行中	32
2018	11	85歳以上	その他	0
2018	10	9歳以下	自動車乗車中	3
2018	10	9歳以下	自動二輪車乗車中	0
2018	10	9歳以下	原付乗車中	0
2018	10	9歳以下	自転車乗用中	0
2018	10	9歳以下	歩行中	2
2018	10	9歳以下	その他	0
2018	10	10-19歳	自動車乗車中	4
2018	10	10-19歳	自動二輪車乗車中	3
2018	10	10-19歳	原付乗車中	2
2018	10	10-19歳	自転車乗用中	2
2018	10	10-19歳	歩行中	0
2018	10	10-19歳	その他	0
2018	10	20-29歳	自動車乗車中	7
2018	10	20-29歳	自動二輪車乗車中	8
2018	10	20-29歳	原付乗車中	0
2018	10	20-29歳	自転車乗用中	3
2018	10	20-29歳	歩行中	1
2018	10	20-29歳	その他	0
2018	10	30-39歳	自動車乗車中	6
2018	10	30-39歳	自動二輪車乗車中	6
2018	10	30-39歳	原付乗車中	0
2018	10	30-39歳	自転車乗用中	2
2018	10	30-39歳	歩行中	5
2018	10	30-39歳	その他	1
2018	10	40-49歳	自動車乗車中	17
2018	10	40-49歳	自動二輪車乗車中	9
2018	10	40-49歳	原付乗車中	5
2018	10	40-49歳	自転車乗用中	0
2018	10	40-49歳	歩行中	8
2018	10	40-49歳	その他	0
2018	10	50-59歳	自動車乗車中	10
2018	10	50-59歳	自動二輪車乗車中	5
2018	10	50-59歳	原付乗車中	1
2018	10	50-59歳	自転車乗用中	7
2018	10	50-59歳	歩行中	11
2018	10	50-59歳	その他	0
2018	10	60-64歳	自動車乗車中	5
2018	10	60-64歳	自動二輪車乗車中	3
2018	10	60-64歳	原付乗車中	2
2018	10	60-64歳	自転車乗用中	6
2018	10	60-64歳	歩行中	8
2018	10	60-64歳	その他	0
2018	10	65-69歳	自動車乗車中	8
2018	10	65-69歳	自動二輪車乗車中	1
2018	10	65-69歳	原付乗車中	3
2018	10	65-69歳	自転車乗用中	6
2018	10	65-69歳	歩行中	8
2018	10	65-69歳	その他	0
2018	10	70-74歳	自動車乗車中	10
2018	10	70-74歳	自動二輪車乗車中	2
2018	10	70-74歳	原付乗車中	1
2018	10	70-74歳	自転車乗用中	5
2018	10	70-74歳	歩行中	13
2018	10	70-74歳	その他	0
2018	10	75-79歳	自動車乗車中	10
2018	10	75-79歳	自動二輪車乗車中	0
2018	10	75-79歳	原付乗車中	1
2018	10	75-79歳	自転車乗用中	8
2018	10	75-79歳	歩行中	20
2018	10	75-79歳	その他	1
2018	10	80-84歳	自動車乗車中	10
2018	10	80-84歳	自動二輪車乗車中	0
2018	10	80-84歳	原付乗車中	4
2018	10	80-84歳	自転車乗用中	10
2018	10	80-84歳	歩行中	18
2018	10	80-84歳	その他	0
2018	10	85歳以上	自動車乗車中	9
2018	10	85歳以上	自動二輪車乗車中	0
2018	10	85歳以上	原付乗車中	0
2018	10	85歳以上	自転車乗用中	5
2018	10	85歳以上	歩行中	33
2018	10	85歳以上	その他	0
2018	9	9歳以下	自動車乗車中	3
2018	9	9歳以下	自動二輪車乗車中	0
2018	9	9歳以下	原付乗車中	0
2018	9	9歳以下	自転車乗用中	1
2018	9	9歳以下	歩行中	2
2018	9	9歳以下	その他	0
2018	9	10-19歳	自動車乗車中	8
2018	9	10-19歳	自動二輪車乗車中	2
2018	9	10-19歳	原付乗車中	2
2018	9	10-19歳	自転車乗用中	2
2018	9	10-19歳	歩行中	0
2018	9	10-19歳	その他	0
2018	9	20-29歳	自動車乗車中	16
2018	9	20-29歳	自動二輪車乗車中	9
2018	9	20-29歳	原付乗車中	2
2018	9	20-29歳	自転車乗用中	3
2018	9	20-29歳	歩行中	0
2018	9	20-29歳	その他	0
2018	9	30-39歳	自動車乗車中	8
2018	9	30-39歳	自動二輪車乗車中	10
2018	9	30-39歳	原付乗車中	0
2018	9	30-39歳	自転車乗用中	1
2018	9	30-39歳	歩行中	4
2018	9	30-39歳	その他	0
2018	9	40-49歳	自動車乗車中	17
2018	9	40-49歳	自動二輪車乗車中	3
2018	9	40-49歳	原付乗車中	0
2018	9	40-49歳	自転車乗用中	2
2018	9	40-49歳	歩行中	7
2018	9	40-49歳	その他	1
2018	9	50-59歳	自動車乗車中	8
2018	9	50-59歳	自動二輪車乗車中	7
2018	9	50-59歳	原付乗車中	1
2018	9	50-59歳	自転車乗用中	3
2018	9	50-59歳	歩行中	5
2018	9	50-59歳	その他	0
2018	9	60-64歳	自動車乗車中	4
2018	9	60-64歳	自動二輪車乗車中	2
2018	9	60-64歳	原付乗車中	2
2018	9	60-64歳	自転車乗用中	2
2018	9	60-64歳	歩行中	6
2018	9	60-64歳	その他	0
2018	9	65-69歳	自動車乗車中	7
2018	9	65-69歳	自動二輪車乗車中	0
2018	9	65-69歳	原付乗車中	1
2018	9	65-69歳	自転車乗用中	4
2018	9	65-69歳	歩行中	11
2018	9	65-69歳	その他	0
2018	9	70-74歳	自動車乗車中	8
2018	9	70-74歳	自動二輪車乗車中	0
2018	9	70-74歳	原付乗車中	1
2018	9	70-74歳	自転車乗用中	5
2018	9	70-74歳	歩行中	7
2018	9	70-74歳	その他	0
2018	9	75-79歳	自動車乗車中	8
2018	9	75-79歳	自動二輪車乗車中	0
2018	9	75-79歳	原付乗車中	3
2018	9	75-79歳	自転車乗用中	10
2018	9	75-79歳	歩行中	16
2018	9	75-79歳	その他	0
2018	9	80-84歳	自動車乗車中	9
2018	9	80-84歳	自動二輪車乗車中	0
2018	9	80-84歳	原付乗車中	2
2018	9	80-84歳	自転車乗用中	3
2018	9	80-84歳	歩行中	11
2018	9	80-84歳	その他	0
2018	9	85歳以上	自動車乗車中	5
2018	9	85歳以上	自動二輪車乗車中	1
2018	9	85歳以上	原付乗車中	1
2018	9	85歳以上	自転車乗用中	8
2018	9	85歳以上	歩行中	15
2018	9	85歳以上	その他	0
2018	8	9歳以下	自動車乗車中	2
2018	8	9歳以下	自動二輪車乗車中	0
2018	8	9歳以下	原付乗車中	0
2018	8	9歳以下	自転車乗用中	1
2018	8	9歳以下	歩行中	2
2018	8	9歳以下	その他	0
2018	8	10-19歳	自動車乗車中	1
2018	8	10-19歳	自動二輪車乗車中	6
2018	8	10-19歳	原付乗車中	4
2018	8	10-19歳	自転車乗用中	3
2018	8	10-19歳	歩行中	5
2018	8	10-19歳	その他	0
2018	8	20-29歳	自動車乗車中	5
2018	8	20-29歳	自動二輪車乗車中	7
2018	8	20-29歳	原付乗車中	0
2018	8	20-29歳	自転車乗用中	3
2018	8	20-29歳	歩行中	3
2018	8	20-29歳	その他	0
2018	8	30-39歳	自動車乗車中	10
2018	8	30-39歳	自動二輪車乗車中	10
2018	8	30-39歳	原付乗車中	3
2018	8	30-39歳	自転車乗用中	1
2018	8	30-39歳	歩行中	2
2018	8	30-39歳	その他	0
2018	8	40-49歳	自動車乗車中	9
2018	8	40-49歳	自動二輪車乗車中	4
2018	8	40-49歳	原付乗車中	1
2018	8	40-49歳	自転車乗用中	2
2018	8	40-49歳	歩行中	9
2018	8	40-49歳	その他	0
2018	8	50-59歳	自動車乗車中	10
2018	8	50-59歳	自動二輪車乗車中	10
2018	8	50-59歳	原付乗車中	3
2018	8	50-59歳	自転車乗用中	4
2018	8	50-59歳	歩行中	10
2018	8	50-59歳	その他	0
2018	8	60-64歳	自動車乗車中	7
2018	8	60-64歳	自動二輪車乗車中	1
2018	8	60-64歳	原付乗車中	0
2018	8	60-64歳	自転車乗用中	4
2018	8	60-64歳	歩行中	1
2018	8	60-64歳	その他	0
2018	8	65-69歳	自動車乗車中	2
2018	8	65-69歳	自動二輪車乗車中	1
2018	8	65-69歳	原付乗車中	3
2018	8	65-69歳	自転車乗用中	1
2018	8	65-69歳	歩行中	7
2018	8	65-69歳	その他	0
2018	8	70-74歳	自動車乗車中	13
2018	8	70-74歳	自動二輪車乗車中	1
2018	8	70-74歳	原付乗車中	1
2018	8	70-74歳	自転車乗用中	8
2018	8	70-74歳	歩行中	10
2018	8	70-74歳	その他	0
2018	8	75-79歳	自動車乗車中	13
2018	8	75-79歳	自動二輪車乗車中	1
2018	8	75-79歳	原付乗車中	3
2018	8	75-79歳	自転車乗用中	8
2018	8	75-79歳	歩行中	13
2018	8	75-79歳	その他	0
2018	8	80-84歳	自動車乗車中	14
2018	8	80-84歳	自動二輪車乗車中	1
2018	8	80-84歳	原付乗車中	5
2018	8	80-84歳	自転車乗用中	5
2018	8	80-84歳	歩行中	11
2018	8	80-84歳	その他	0
2018	8	85歳以上	自動車乗車中	9
2018	8	85歳以上	自動二輪車乗車中	0
2018	8	85歳以上	原付乗車中	0
2018	8	85歳以上	自転車乗用中	7
2018	8	85歳以上	歩行中	16
2018	8	85歳以上	その他	0
2018	7	9歳以下	自動車乗車中	0
2018	7	9歳以下	自動二輪車乗車中	0
2018	7	9歳以下	原付乗車中	0
2018	7	9歳以下	自転車乗用中	1
2018	7	9歳以下	歩行中	4
2018	7	9歳以下	その他	0
2018	7	10-19歳	自動車乗車中	3
2018	7	10-19歳	自動二輪車乗車中	4
2018	7	10-19歳	原付乗車中	3
2018	7	10-19歳	自転車乗用中	4
2018	7	10-19歳	歩行中	0
2018	7	10-19歳	その他	0
2018	7	20-29歳	自動車乗車中	6
2018	7	20-29歳	自動二輪車乗車中	8
2018	7	20-29歳	原付乗車中	3
2018	7	20-29歳	自転車乗用中	1
2018	7	20-29歳	歩行中	3
2018	7	20-29歳	その他	0
2018	7	30-39歳	自動車乗車中	11
2018	7	30-39歳	自動二輪車乗車中	2
2018	7	30-39歳	原付乗車中	1
2018	7	30-39歳	自転車乗用中	0
2018	7	30-39歳	歩行中	3
2018	7	30-39歳	その他	0
2018	7	40-49歳	自動車乗車中	12
2018	7	40-49歳	自動二輪車乗車中	9
2018	7	40-49歳	原付乗車中	3
2018	7	40-49歳	自転車乗用中	2
2018	7	40-49歳	歩行中	5
2018	7	40-49歳	その他	1
2018	7	50-59歳	自動車乗車中	9
2018	7	50-59歳	自動二輪車乗車中	9
2018	7	50-59歳	原付乗車中	3
2018	7	50-59歳	自転車乗用中	5
2018	7	50-59歳	歩行中	4
2018	7	50-59歳	その他	1
2018	7	60-64歳	自動車乗車中	3
2018	7	60-64歳	自動二輪車乗車中	9
2018	7	60-64歳	原付乗車中	2
2018	7	60-64歳	自転車乗用中	3
2018	7	60-64歳	歩行中	3
2018	7	60-64歳	その他	0
2018	7	65-69歳	自動車乗車中	14
2018	7	65-69歳	自動二輪車乗車中	2
2018	7	65-69歳	原付乗車中	1
2018	7	65-69歳	自転車乗用中	4
2018	7	65-69歳	歩行中	6
2018	7	65-69歳	その他	0
2018	7	70-74歳	自動車乗車中	11
2018	7	70-74歳	自動二輪車乗車中	3
2018	7	70-74歳	原付乗車中	2
2018	7	70-74歳	自転車乗用中	2
2018	7	70-74歳	歩行中	13
2018	7	70-74歳	その他	0
2018	7	75-79歳	自動車乗車中	17
2018	7	75-79歳	自動二輪車乗車中	2
2018	7	75-79歳	原付乗車中	2
2018	7	75-79歳	自転車乗用中	3
2018	7	75-79歳	歩行中	15
2018	7	75-79歳	その他	1
2018	7	80-84歳	自動車乗車中	11
2018	7	80-84歳	自動二輪車乗車中	0
2018	7	80-84歳	原付乗車中	0
2018	7	80-84歳	自転車乗用中	2
2018	7	80-84歳	歩行中	8
2018	7	80-84歳	その他	0
2018	7	85歳以上	自動車乗車中	7
2018	7	85歳以上	自動二輪車乗車中	0
2018	7	85歳以上	原付乗車中	1
2018	7	85歳以上	自転車乗用中	1
2018	7	85歳以上	歩行中	12
2018	7	85歳以上	その他	0
2018	6	9歳以下	自動車乗車中	0
2018	6	9歳以下	自動二輪車乗車中	0
2018	6	9歳以下	原付乗車中	0
2018	6	9歳以下	自転車乗用中	0
2018	6	9歳以下	歩行中	4
2018	6	9歳以下	その他	0
2018	6	10-19歳	自動車乗車中	1
2018	6	10-19歳	自動二輪車乗車中	3
2018	6	10-19歳	原付乗車中	0
2018	6	10-19歳	自転車乗用中	2
2018	6	10-19歳	歩行中	0
2018	6	10-19歳	その他	0
2018	6	20-29歳	自動車乗車中	7
2018	6	20-29歳	自動二輪車乗車中	8
2018	6	20-29歳	原付乗車中	0
2018	6	20-29歳	自転車乗用中	2
2018	6	20-29歳	歩行中	4
2018	6	20-29歳	その他	0
2018	6	30-39歳	自動車乗車中	8
2018	6	30-39歳	自動二輪車乗車中	2
2018	6	30-39歳	原付乗車中	1
2018	6	30-39歳	自転車乗用中	0
2018	6	30-39歳	歩行中	5
2018	6	30-39歳	その他	0
2018	6	40-49歳	自動車乗車中	5
2018	6	40-49歳	自動二輪車乗車中	9
2018	6	40-49歳	原付乗車中	0
2018	6	40-49歳	自転車乗用中	1
2018	6	40-49歳	歩行中	1
2018	6	40-49歳	その他	0
2018	6	50-59歳	自動車乗車中	10
2018	6	50-59歳	自動二輪車乗車中	9
2018	6	50-59歳	原付乗車中	1
2018	6	50-59歳	自転車乗用中	3
2018	6	50-59歳	歩行中	3
2018	6	50-59歳	その他	0
2018	6	60-64歳	自動車乗車中	8
2018	6	60-64歳	自動二輪車乗車中	0
2018	6	60-64歳	原付乗車中	2
2018	6	60-64歳	自転車乗用中	0
2018	6	60-64歳	歩行中	9
2018	6	60-64歳	その他	0
2018	6	65-69歳	自動車乗車中	7
2018	6	65-69歳	自動二輪車乗車中	1
2018	6	65-69歳	原付乗車中	1
2018	6	65-69歳	自転車乗用中	3
2018	6	65-69歳	歩行中	9
2018	6	65-69歳	その他	0
2018	6	70-74歳	自動車乗車中	9
2018	6	70-74歳	自動二輪車乗車中	0
2018	6	70-74歳	原付乗車中	2
2018	6	70-74歳	自転車乗用中	9
2018	6	70-74歳	歩行中	6
2018	6	70-74歳	その他	0
2018	6	75-79歳	自動車乗車中	12
2018	6	75-79歳	自動二輪車乗車中	1
2018	6	75-79歳	原付乗車中	0
2018	6	75-79歳	自転車乗用中	5
2018	6	75-79歳	歩行中	11
2018	6	75-79歳	その他	0
2018	6	80-84歳	自動車乗車中	9
2018	6	80-84歳	自動二輪車乗車中	0
2018	6	80-84歳	原付乗車中	0
2018	6	80-84歳	自転車乗用中	5
2018	6	80-84歳	歩行中	9
2018	6	80-84歳	その他	0
2018	6	85歳以上	自動車乗車中	10
2018	6	85歳以上	自動二輪車乗車中	0
2018	6	85歳以上	原付乗車中	1
2018	6	85歳以上	自転車乗用中	3
2018	6	85歳以上	歩行中	13
2018	6	85歳以上	その他	1
2018	5	9歳以下	自動車乗車中	1
2018	5	9歳以下	自動二輪車乗車中	0
2018	5	9歳以下	原付乗車中	0
2018	5	9歳以下	自転車乗用中	1
2018	5	9歳以下	歩行中	1
2018	5	9歳以下	その他	0
2018	5	10-19歳	自動車乗車中	1
2018	5	10-19歳	自動二輪車乗車中	5
2018	5	10-19歳	原付乗車中	2
2018	5	10-19歳	自転車乗用中	4
2018	5	10-19歳	歩行中	0
2018	5	10-19歳	その他	0
2018	5	20-29歳	自動車乗車中	7
2018	5	20-29歳	自動二輪車乗車中	10
2018	5	20-29歳	原付乗車中	1
2018	5	20-29歳	自転車乗用中	1
2018	5	20-29歳	歩行中	2
2018	5	20-29歳	その他	0
2018	5	30-39歳	自動車乗車中	9
2018	5	30-39歳	自動二輪車乗車中	6
2018	5	30-39歳	原付乗車中	1
2018	5	30-39歳	自転車乗用中	1
2018	5	30-39歳	歩行中	4
2018	5	30-39歳	その他	0
2018	5	40-49歳	自動車乗車中	11
2018	5	40-49歳	自動二輪車乗車中	7
2018	5	40-49歳	原付乗車中	0
2018	5	40-49歳	自転車乗用中	2
2018	5	40-49歳	歩行中	4
2018	5	40-49歳	その他	0
2018	5	50-59歳	自動車乗車中	12
2018	5	50-59歳	自動二輪車乗車中	5
2018	5	50-59歳	原付乗車中	1
2018	5	50-59歳	自転車乗用中	3
2018	5	50-59歳	歩行中	5
2018	5	50-59歳	その他	0
2018	5	60-64歳	自動車乗車中	1
2018	5	60-64歳	自動二輪車乗車中	0
2018	5	60-64歳	原付乗車中	1
2018	5	60-64歳	自転車乗用中	3
2018	5	60-64歳	歩行中	8
2018	5	60-64歳	その他	0
2018	5	65-69歳	自動車乗車中	6
2018	5	65-69歳	自動二輪車乗車中	1
2018	5	65-69歳	原付乗車中	3
2018	5	65-69歳	自転車乗用中	4
2018	5	65-69歳	歩行中	8
2018	5	65-69歳	その他	0
2018	5	70-74歳	自動車乗車中	14
2018	5	70-74歳	自動二輪車乗車中	0
2018	5	70-74歳	原付乗車中	3
2018	5	70-74歳	自転車乗用中	0
2018	5	70-74歳	歩行中	6
2018	5	70-74歳	その他	0
2018	5	75-79歳	自動車乗車中	15
2018	5	75-79歳	自動二輪車乗車中	1
2018	5	75-79歳	原付乗車中	1
2018	5	75-79歳	自転車乗用中	4
2018	5	75-79歳	歩行中	10
2018	5	75-79歳	その他	0
2018	5	80-84歳	自動車乗車中	5
2018	5	80-84歳	自動二輪車乗車中	1
2018	5	80-84歳	原付乗車中	2
2018	5	80-84歳	自転車乗用中	6
2018	5	80-84歳	歩行中	17
2018	5	80-84歳	その他	0
2018	5	85歳以上	自動車乗車中	8
2018	5	85歳以上	自動二輪車乗車中	0
2018	5	85歳以上	原付乗車中	1
2018	5	85歳以上	自転車乗用中	7
2018	5	85歳以上	歩行中	10
2018	5	85歳以上	その他	0
2018	4	9歳以下	自動車乗車中	0
2018	4	9歳以下	自動二輪車乗車中	0
2018	4	9歳以下	原付乗車中	0
2018	4	9歳以下	自転車乗用中	0
2018	4	9歳以下	歩行中	0
2018	4	9歳以下	その他	0
2018	4	10-19歳	自動車乗車中	6
2018	4	10-19歳	自動二輪車乗車中	9
2018	4	10-19歳	原付乗車中	2
2018	4	10-19歳	自転車乗用中	5
2018	4	10-19歳	歩行中	1
2018	4	10-19歳	その他	0
2018	4	20-29歳	自動車乗車中	11
2018	4	20-29歳	自動二輪車乗車中	5
2018	4	20-29歳	原付乗車中	3
2018	4	20-29歳	自転車乗用中	0
2018	4	20-29歳	歩行中	1
2018	4	20-29歳	その他	0
2018	4	30-39歳	自動車乗車中	3
2018	4	30-39歳	自動二輪車乗車中	4
2018	4	30-39歳	原付乗車中	1
