year,month,area,prefecture,発生件数（速報値）,死者数（確定値）,負傷者数（速報値）
2019,1,中部,三重,347,6,448
2019,1,近畿,滋賀,291,7,382
2019,1,近畿,京都,428,4,482
2019,1,近畿,大阪,2374,7,2832
2019,1,近畿,兵庫,1898,12,2278
2019,1,近畿,奈良,271,1,331
2019,1,近畿,和歌山,168,2,204
2019,1,中国,鳥取,68,2,81
2019,1,中国,島根,74,1,89
2019,1,中国,岡山,412,11,474
2019,1,中国,広島,533,6,678
2019,1,中国,山口,278,3,344
2019,1,四国,徳島,183,3,221
2019,1,四国,香川,399,6,479
2019,1,四国,愛媛,219,4,245
2019,1,四国,高知,127,3,142
2019,1,九州,福岡,2209,9,2802
2019,1,九州,佐賀,431,2,566
2019,1,九州,長崎,323,1,412
2019,1,九州,熊本,333,6,425
2019,1,九州,大分,163,2,202
2019,1,九州,宮崎,489,2,546
2019,1,九州,鹿児島,381,3,423
2019,1,九州,沖縄,242,1,272
